<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,rdf:type,wd:cuirass
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P571,"3. century BCE"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P17,"Tunisia"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P276,"Bardo National Museum"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P186,"bronze"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P195,"Carthaginian art in the Bardo National Museum"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P575,"20 February 1909"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P189,"Ksour Essef"
<https://purl.archive.org/domain/lodlybaeum/item/cuirass>,wd:property:P973,http://www.bardomuseum.tn/index.php?option=com_content&view=article&id=82%3Acuirasse-campanienne-en-bronze-dore&catid=43%3Alatine-romaine-&Itemid=74&lang=fr
